epoch,accuracy,c_loss,d_loss,g_loss,imp_loss,reg_loss,total_g_loss,val_accuracy
0,0.4195289611816406,1.8632596731185913,0.5029087066650391,0.20991580188274384,0.00020062168186996132,0.0071493941359221935,0.21726588904857635,0.5442708134651184
1,0.6071314811706543,1.4478167295455933,0.49602457880973816,0.21310532093048096,0.00019878134480677545,0.007119934540241957,0.220424085855484,0.5741825699806213
2,0.6081792116165161,1.3211784362792969,0.49545615911483765,0.21390412747859955,0.00019679818069562316,0.007090258412063122,0.22119112312793732,0.7065972089767456
3,0.6092953085899353,1.2564938068389893,0.4954313039779663,0.21383193135261536,0.00019480269111227244,0.00706061627715826,0.2210872620344162,0.7169777154922485
4,0.6126776337623596,1.2135089635849,0.4954219162464142,0.21385347843170166,0.00019282460561953485,0.007031052839010954,0.2210773229598999,0.7123842835426331
5,0.6191918849945068,1.1803699731826782,0.49558693170547485,0.21359939873218536,0.00019086999236606061,0.00700158067047596,0.2207919806241989,0.7117332220077515
6,0.6245102882385254,1.1528689861297607,0.4957013726234436,0.2130873054265976,0.00018893933156505227,0.006972202565521002,0.22024841606616974,0.7133246660232544
7,0.6292934417724609,1.1291348934173584,0.495552122592926,0.21316030621528625,0.00018703262321650982,0.006942918058484793,0.2202901542186737,0.7145182490348816
8,0.6329947113990784,1.108161449432373,0.4955001771450043,0.21348784863948822,0.00018514921248424798,0.006913723889738321,0.22058679163455963,0.7155309319496155
9,0.6359899044036865,1.0893324613571167,0.49531564116477966,0.21383973956108093,0.0001832890120567754,0.006884625647217035,0.22090758383274078,0.7167606949806213
10,0.6396455764770508,1.0722370147705078,0.4952414035797119,0.21389085054397583,0.00018145139620173723,0.006855620536953211,0.22092780470848083,0.7179904580116272
11,0.6440643072128296,1.056585431098938,0.4953784644603729,0.21370677649974823,0.00017963617574423552,0.0068267108872532845,0.2207130491733551,0.71875
12,0.6487563848495483,1.0421634912490845,0.495305597782135,0.21355211734771729,0.00017784288502298295,0.006797890644520521,0.22052788734436035,0.7194733619689941
13,0.6545303463935852,1.0288078784942627,0.4952975809574127,0.21356509625911713,0.00017607121844775975,0.006769165862351656,0.22051027417182922,0.7202329039573669
14,0.6582885384559631,1.0163874626159668,0.49535122513771057,0.21348880231380463,0.00017432088498026133,0.006740530952811241,0.2204035520553589,0.7211371660232544
15,0.6617050766944885,1.0047991275787354,0.49534210562705994,0.2135019302368164,0.00017259146261494607,0.006711991038173437,0.22038644552230835,0.7220775485038757
16,0.6657935380935669,0.9939549565315247,0.4951467216014862,0.21394556760787964,0.00017088261665776372,0.006683541927486658,0.2207999974489212,0.7237412929534912
17,0.6693239808082581,0.983782172203064,0.4949754476547241,0.21475940942764282,0.00016919401241466403,0.006655184086412191,0.22158357501029968,0.7277922630310059
18,0.6719546914100647,0.9742173552513123,0.49480730295181274,0.21533438563346863,0.0001675253879511729,0.006626917514950037,0.22212879359722137,0.7385706305503845
19,0.6743348836898804,0.9652062058448792,0.4945843815803528,0.21553756296634674,0.0001658763358136639,0.006598745007067919,0.2223021388053894,0.7426938414573669
20,0.6769998073577881,0.956698477268219,0.49458447098731995,0.21553774178028107,0.00016424655041191727,0.0065706633031368256,0.22227256000041962,0.7445023059844971
21,0.6794825196266174,0.948652446269989,0.49452707171440125,0.2157108336687088,0.00016263571160379797,0.006542672403156757,0.22241607308387756,0.7451895475387573
22,0.6818740963935852,0.9410277009010315,0.49451079964637756,0.2157360315322876,0.0001610435137990862,0.006514772307127714,0.22241182625293732,0.7456958889961243
23,0.6843795776367188,0.9337897300720215,0.4945107400417328,0.21573594212532043,0.0001594698551343754,0.006486961618065834,0.2223825454711914,0.74609375
24,0.6872380375862122,0.9269071221351624,0.49451079964637756,0.21573592722415924,0.0001579140080139041,0.006459245923906565,0.22235320508480072,0.7467086315155029
25,0.6900510191917419,0.9203507900238037,0.4945106506347656,0.21573589742183685,0.0001563760597491637,0.006431620568037033,0.22232390940189362,0.7475766539573669
26,0.6930575966835022,0.9140948057174683,0.49451109766960144,0.21573545038700104,0.00015485560288652778,0.006404084153473377,0.2222943753004074,0.7481915354728699
27,0.695984423160553,0.9081161022186279,0.4945107400417328,0.21573594212532043,0.00015335218631662428,0.00637664133682847,0.22226588428020477,0.7490234375
28,0.6988543272018433,0.9023946523666382,0.4945106506347656,0.21573594212532043,0.00015186569362413138,0.006349288392812014,0.22223718464374542,0.7497829794883728
29,0.7014736533164978,0.896911084651947,0.4945106506347656,0.21573594212532043,0.00015039586287457496,0.006322033703327179,0.22220845520496368,0.7504340410232544
30,0.7035919427871704,0.891648530960083,0.49445363879203796,0.21580664813518524,0.00014894235937390476,0.006294866558164358,0.22225049138069153,0.7511935830116272
31,0.7059721350669861,0.8865926861763,0.49440768361091614,0.2161152958869934,0.00014750503760296851,0.006267786491662264,0.2225305736064911,0.7522063255310059
32,0.7080675959587097,0.8817286491394043,0.494369775056839,0.2162746787071228,0.0001460835919715464,0.0062407986260950565,0.22266152501106262,0.7529296875
33,0.7107552886009216,0.877045750617981,0.4943346381187439,0.21631373465061188,0.0001446777896489948,0.006213903892785311,0.2226722687482834,0.7532913684844971
